time,replicate,oxygen,condition,experiment_name,experiment_date,cell_number
22,NV3,4.3,1mM NO2 +2mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
22,NV4,4,1mM NO2 +0mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
22,NV5,5,1mM NO2 +0mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
22,NV6,4.3,1mM NO2 +0mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
22,NV7,0.32,0mM NO2,NH4_independence_repeat,29.04.2025,66491048.59
22,NV8,0.32,0mM NO2,NH4_independence_repeat,29.04.2025,66491048.59
24,NV1,3.5,1mM NO2 +2mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
24,NV2,3.8,1mM NO2 +2mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
24,NV3,4.5,1mM NO2 +2mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
24,NV4,4.5,1mM NO2 +0mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
24,NV5,5.3,1mM NO2 +0mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
24,NV6,4.5,1mM NO2 +0mM NH4,NH4_independence_repeat,29.04.2025,66491048.59
24,NV7,0.32,0mM NO2,NH4_independence_repeat,29.04.2025,66491048.59
24,NV8,0.31,0mM NO2,NH4_independence_repeat,29.04.2025,66491048.59
0,NV1,0.25,not_starved,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0,NV2,0.23,not_starved,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0,NV3,0.25,1d_starvaion,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0,NV4,0.21,1d_starvaion,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0,NV5,0.27,1d_starvaion,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0,NV6,0.28,3d_starvation,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0,NV7,0.31,3d_starvation,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0,NV8,0.28,3d_starvation,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0.016666667,NV1,0.85,not_starved,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0.016666667,NV2,0.79,not_starved,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0.016666667,NV3,0.71,1d_starvaion,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0.016666667,NV4,0.82,1d_starvaion,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0.016666667,NV5,1.2,1d_starvaion,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0.016666667,NV6,0.94,3d_starvation,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0.016666667,NV7,0.94,3d_starvation,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0.016666667,NV8,1.1,3d_starvation,Starvation_1d_3d_repeat,19.05.2025,67506227.52
0.05,NV1,0.53,not_starved,Starvation_1d_3d_repeat,19.05.2025,67506227.52
